RegionMilieuClasse,dpa_1,dpa_2,dpa_3,dpa_4,dpa_5,dpa_6,dpa_7,dpa_8,dpa_9,dpa_10,dpa_11,dpa_12,row_coord_dim1,row_coord_dim2
CE-R-1,1074665.580882353,59082.60294117647,201770.9338235294,773385.1764705882,203928.03676470587,368383.4411764706,225421.39705882352,108520.7794117647,54899.80882352941,7434.14705882353,7598.02205882353,34224.43382352941,-2.4712101847366594,-1.978472899429292
CE-R-2,884567.5204081633,113873.64285714286,247347.693877551,471547.0816326531,169945.10204081633,223652.05102040817,219128.51020408163,97444.36734693877,34815.92857142857,23386.73469387755,9204.081632653062,14439.377551020409,-1.380036759364293,0.1957929927018673
CE-R-3,620235.5,66519.51886792453,171950.55188679244,378954.71226415096,80969.12264150943,131327.59433962265,215741.5141509434,72415.60849056604,25934.76886792453,27514.63679245283,1906.5141509433963,20916.95283018868,1.15739824730849,0.3263058696564621
CE-R-4,498292.1111111111,72617.73737373737,149728.50505050505,241808.05050505052,47234.74747474748,132897.0606060606,148017.15151515152,73481.32323232324,11016.636363636364,28419.070707070707,2328.6363636363635,6146.121212121212,2.4031755905793046,0.5083645981838066
CE-U-1,1349830.1884700665,99598.85144124168,303296.1574279379,1338793.3902439023,215231.0110864745,503509.8625277162,469272.45898004435,190325.41019955653,83873.05543237251,22818.618625277162,36508.22838137472,39868.913525498894,-7.651230662835144,-0.9215870679240736
CE-U-2,983283.9010152285,93418.43908629441,305597.652284264,1155128.1218274112,176716.94162436549,356662.6624365482,472818.0329949239,241067.02030456852,63361.8883248731,89795.18274111675,25573.794416243654,24573.850253807108,-6.113885971588106,2.0988713573461815
CE-U-3,808384.5061511423,96625.61862917399,289606.08260105446,674751.4920913884,129899.34973637962,242966.74692442882,377233.13356766256,167709.8927943761,53969.68892794376,91277.60456942003,20079.551845342707,12148.414762741651,-3.36173939661521,2.829100180467896
CE-U-4,641007.7676056338,103187.8309859155,260083.5704225352,504438.3098591549,89850.67605633802,212199.0915492958,267362.11267605633,150640.32394366196,41630.43661971831,60660.69014084507,5325.56338028169,15099.823943661971,-1.324081921217079,2.224947987310912
CW-R-1,772288.5205882353,74505.60882352942,128537.47647058824,431439.3941176471,89437.99117647059,235975.64117647058,115338.0294117647,73870.74117647059,12032.420588235294,4507.038235294118,4269.60294117647,4574.729411764706,1.548058650049527,-1.2812401316590243
CW-R-2,551565.2842105263,49622.652631578945,118771.51052631579,309068.72631578945,79868.77368421052,162131.72631578948,97084.74210526315,57226.836842105266,14271.9,13218.478947368421,1197.3684210526317,6531.242105263158,2.6780731240544307,-0.7817662960030693
CW-R-3,481801.8973607038,44579.7917888563,133927.82991202347,253235.5190615836,65386.26979472141,136078.72434017595,107524.97360703812,63212.09970674487,6717.4340175953075,20865.25806451613,796.674486803519,5189.123167155425,3.00802401273047,-0.3453961490805292
CW-R-4,348048.73796791444,43276.04278074866,123246.32085561498,139314.69518716578,44593.1550802139,96112.935828877,107244.16577540107,55644.05347593583,6744.983957219251,32114.01604278075,387.7005347593583,4532.711229946524,3.643770779805659,0.36440519148562966
CW-U-1,963695.9235294118,52350.617647058825,231126.60588235295,765414.8470588236,182440.15294117646,347880.6823529412,149220.85882352942,139639.7294117647,20433.582352941175,12376.711764705882,31352.923529411764,4712.329411764706,-1.7555193764412635,-1.8955631189373774
CW-U-2,726161.9782608695,57810.159420289856,207037.40579710144,711099.8260869565,103630.3115942029,188050.02898550723,236099.89130434784,128997.34057971014,16458.318840579712,77758.5579710145,13817.210144927536,5494.297101449275,-0.388160056864617,1.2282408687093038
CW-U-3,667740.7578125,60486.7890625,204692.49609375,419423.3125,80906.33984375,171211.6484375,138311.16015625,125748.33203125,20964.9453125,54566.6171875,10957.0234375,7300.296875,0.6223343631037435,0.9365501365801107
CW-U-4,405329.4090909091,65741.34090909091,184190.2159090909,297265.32954545453,65592.92045454546,129755.57954545454,105809.61363636363,111006.53409090909,16333.704545454546,38510.14772727273,2169.2272727272725,3548.8863636363635,2.0068353496472993,1.0018875715703002
GT-R-1,856340.6923076923,79981.59615384616,170085.15384615384,864629.9807692308,113659.53846153847,205171.82692307694,158604.92307692306,135935.75,9426.23076923077,4799.9807692307695,1923.0576923076924,3619.730769230769,0.16818155477406002,-1.1933743978174207
GT-R-2,724330.6052631579,67437.76315789473,173067.1052631579,800396.4736842106,75729.94736842105,192730.34210526315,139221.31578947368,133622.34210526315,6630.5526315789475,23283.736842105263,822.3684210526316,1393.8684210526317,0.8773612814647936,-0.43152590548665515
GT-R-3,562175.9866666667,75043.10666666667,183073.05333333334,442634.8,54791.293333333335,132734.48,177565.62666666668,119136.21333333333,6899.84,31463.81333333333,213.33333333333334,79290.66666666667,0.6755500213661474,0.3314826680751516
GT-R-4,422353.71428571426,25389.714285714286,93958.14285714286,227306.57142857142,37307.42857142857,177759.42857142858,115436.42857142857,120659.0,9244.714285714286,25429.85714285714,0.0,1337.142857142857,3.0954555190451956,-0.3233909623571741
GT-U-1,1399125.0194610779,114815.39221556886,273264.29341317364,1792977.610778443,193122.03143712576,512527.1392215569,390330.97754491016,259985.248502994,58402.649700598806,29974.77994011976,61524.729041916165,24795.86526946108,-8.225271146239761,-1.1890674538271944
GT-U-2,943282.1288056206,95121.1662763466,308769.72599531617,963982.9344262296,167645.7494145199,279721.6978922717,299662.22716627637,209349.55269320842,67405.82201405152,101822.56674473068,32006.077283372364,8765.651053864169,-4.825729971124233,2.6999053111138567
GT-U-3,700120.9275123558,81545.53377265239,238360.09884678747,702312.5815485996,94867.06425041186,210005.6787479407,204067.37397034597,167414.31301482703,40689.54365733114,78762.47446457991,13890.719934102142,8329.243822075783,-1.3917512173818989,2.0903574917422234
GT-U-4,568117.8086956522,62818.82608695652,168217.71304347826,443202.1217391304,65658.76521739131,176618.99130434782,142424.86956521738,117469.33913043479,37268.852173913045,60357.64347826087,21131.49565217391,2285.4521739130437,0.5196601140468061,1.337146619965987
